gene,score,guide_signif,n_downstream,direction,is_hub,known,anchor,highlight
PLCG1,-4.4913006,0.8230757543316886,5032.0,autoimmune(down),True,driver,,
CD247,-3.7479675,0.7143167383001537,4329.0,autoimmune(down),True,driver,,
ITK,-2.4943395,0.5935361125655716,3392.0,autoimmune(down),True,driver,,
PGGT1B,-2.320303,0.6260189845226534,3013.0,autoimmune(down),True,new,,
TAF6L,-1.9259115,0.8352365239846078,4638.0,autoimmune(down),True,new,,
TMX1,-1.9217718,0.7637926364197034,2346.0,autoimmune(down),True,new,,
MED12,-1.6407304,0.7802520572736261,4141.0,autoimmune(down),True,new,,
DOLPP1,-1.5890892,0.8550001070738288,2717.0,autoimmune(down),True,new,,
CD28,-1.5061929,0.8682036693211379,1505.0,autoimmune(down),False,new,CD28,
SUPT20H,-1.4938215,0.7903405497985989,3947.0,autoimmune(down),True,new,,
MALT1,-1.4584794,0.6545619592346947,1639.0,autoimmune(down),True,new,,
CREBBP,-1.3318168,0.7772179692119202,2968.0,autoimmune(down),True,new,,
MAX,-1.2039694,0.768967764214673,2222.0,autoimmune(down),True,new,,
DENR,-1.1228849,0.6618632009796215,3636.0,autoimmune(down),True,new,,
TADA1,-1.0989381,0.7568535075498384,3648.0,autoimmune(down),True,new,,
ATAD5,-0.9720724,0.8108056221424453,3596.0,autoimmune(down),True,new,,
CLCC1,-0.9678552,0.7977929372410631,679.0,autoimmune(down),False,new,,
WAS,-0.96524596,0.6318559718892,494.0,autoimmune(down),False,new,,
SGF29,-0.9578998,0.8032226834532887,4047.0,autoimmune(down),True,new,,
TIA1,-0.95199174,0.5321862227363556,227.0,autoimmune(down),False,new,,
USP22,-0.93074447,0.6562887412559082,2380.0,autoimmune(down),True,new,,
MAP3K1,-0.8669937,0.671569198573053,89.0,autoimmune(down),False,new,,MAP3K1
KDM1A,-0.84044826,0.8413086680278441,2300.0,autoimmune(down),True,new,,
EIF4G2,-0.83067524,0.5289546289648879,2529.0,autoimmune(down),True,new,,
TRRAP,-0.78823566,0.5850330013988287,1256.0,autoimmune(down),False,new,,
UBIAD1,-0.7587329,0.6989180504211007,89.0,autoimmune(down),False,new,,
ATP2A2,-0.74591374,0.6509149721280454,3259.0,autoimmune(down),True,new,,
ALG8,-0.7396602,0.806493744708658,549.0,autoimmune(down),False,new,,
TAF13,-0.7134283,0.780039643438468,3341.0,autoimmune(down),True,new,,
MPI,-0.71062285,0.7206318485642088,2294.0,autoimmune(down),True,new,,
RFT1,-0.70924014,0.6303378584794412,427.0,autoimmune(down),False,new,,
KAT6A,-0.70159394,0.7354571529664156,505.0,autoimmune(down),False,new,,
PEX5,-0.6959878,0.5758597905053958,164.0,autoimmune(down),False,new,,
