gene,score,guide_signif,n_downstream,status,flag
PDCL,0.974,0.848,1271,new,core-machinery
BHLHE40,0.967,0.806,1996,new,hub/broad-effect
CBLB,0.725,0.921,1027,recovered-known (brake),
TRIT1,0.663,0.833,42,new,core-machinery
ELP3,0.619,0.749,995,new,core-machinery
FAM98B,0.601,0.913,904,new,core-machinery
PPIH,0.593,0.659,876,new,core-machinery
COX15,0.556,0.72,97,new,core-machinery
RSBN1L,0.554,1.0,178,new,
SLC4A7,0.552,0.595,45,new,
C2CD5,0.532,0.808,60,new,
PUM1,0.524,0.999,226,new,
PDSS2,0.515,0.678,2226,new,hub/broad-effect
MED15,0.514,0.813,2050,new,hub/broad-effect
TRIP12,0.513,0.843,1829,new,hub/broad-effect
SNRPB2,0.511,0.892,153,new,
PAN3,0.486,0.994,184,new,
KTI12,0.483,0.788,825,new,
SMS,0.476,0.599,52,new,
ELP1,0.466,0.623,827,new,
PRPF39,0.454,0.577,325,new,
MBTPS1,0.451,0.923,279,new,
MTF2,0.451,1.0,28,new,
ADNP2,0.451,0.897,91,new,
RBM27,0.443,0.618,725,new,
YTHDF2,0.439,0.577,1483,new,
ELAVL1,0.439,0.827,2169,new,hub/broad-effect
YEATS2,0.426,0.546,504,new,
RBPJ,0.409,0.998,56,new,
MAP4K1,0.395,0.629,93,new,
