gene,score,guide_signif,n_downstream,status,flag
PLCG1,-4.491,0.823,5032,recovered-known (driver),hub/broad-effect
CD247,-3.748,0.714,4329,recovered-known (driver),hub/broad-effect
ITK,-2.494,0.594,3392,recovered-known (driver),hub/broad-effect
PGGT1B,-2.32,0.626,3013,new,hub/broad-effect
TAF6L,-1.926,0.835,4638,new,hub/broad-effect
TMX1,-1.922,0.764,2346,new,hub/broad-effect
MED12,-1.641,0.78,4141,new,hub/broad-effect
DOLPP1,-1.589,0.855,2717,new,hub/broad-effect
CD28,-1.506,0.868,1505,new,
SUPT20H,-1.494,0.79,3947,new,hub/broad-effect
MALT1,-1.458,0.655,1639,new,hub/broad-effect
CREBBP,-1.332,0.777,2968,new,hub/broad-effect
MAX,-1.204,0.769,2222,new,hub/broad-effect
DENR,-1.123,0.662,3636,new,hub/broad-effect
TADA1,-1.099,0.757,3648,new,hub/broad-effect
ATAD5,-0.972,0.811,3596,new,hub/broad-effect
CLCC1,-0.968,0.798,679,new,
WAS,-0.965,0.632,494,new,
SGF29,-0.958,0.803,4047,new,hub/broad-effect
TIA1,-0.952,0.532,227,new,
USP22,-0.931,0.656,2380,new,hub/broad-effect
MAP3K1,-0.867,0.672,89,new,
KDM1A,-0.84,0.841,2300,new,hub/broad-effect
EIF4G2,-0.831,0.529,2529,new,hub/broad-effect
TRRAP,-0.788,0.585,1256,new,
UBIAD1,-0.759,0.699,89,new,
ATP2A2,-0.746,0.651,3259,new,hub/broad-effect
ALG8,-0.74,0.806,549,new,
TAF13,-0.713,0.78,3341,new,hub/broad-effect
MPI,-0.711,0.721,2294,new,hub/broad-effect
