,Whole_Blood,Spleen,Lung,Liver,Heart_Left_Ventricle,Brain_Cortex,Kidney_Cortex,Testis,Skin_Sun_Exposed_Lower_leg,Muscle_Skeletal
TATDN2,17.4224,35.5014,30.588,8.29017,8.13635,25.5424,12.8027,17.9518,31.8801,10.689
JADE2,10.1653,28.9645,20.0687,2.5506900000000003,4.84965,15.0161,8.24672,10.2113,13.8785,5.9651
URM1,13.5018,41.7064,34.2076,14.5335,17.3292,24.0364,19.2973,26.3925,33.0723,16.9537
BAHD1,3.1879,20.9962,24.5986,7.698510000000001,8.20235,13.2261,12.0582,42.0278,18.3881,9.109110000000001
INTS6,2.13447,2.86882,3.7655800000000004,2.3403099999999997,1.11732,1.44117,1.66838,11.4927,4.14352,1.23851
RAC2,960.395,366.82199999999995,81.8741,6.4267,2.06264,1.8707,5.38325,2.53459,7.837839999999999,1.07785
IFNAR1,23.4921,25.5838,28.2238,19.7763,6.695819999999999,12.7997,10.7492,13.5334,17.4165,7.3247
TNFRSF9,1.44103,1.32185,0.419178,0.037747699999999995,0.00895475,0.00504676,0.0379813,0.0838714,0.028851799999999997,0.00606672
CD6,19.1403,28.5978,7.6317,0.674466,0.10831199999999999,1.24223,0.6170770000000001,1.65893,0.8280780000000001,0.10054
CBLB,3.6692,14.8282,21.1233,3.1646400000000003,9.68723,1.7563400000000002,5.08392,13.7314,11.8533,4.7391
TRIT1,2.96542,20.88,19.1802,8.3285,9.83285,10.2911,11.327,28.3535,37.584,7.287210000000001
SNRPB2,9.3206,33.2497,30.0896,10.4755,11.1561,15.8732,20.1203,29.3978,19.2434,15.8181
PAXIP1,0.8674229999999999,5.2043099999999995,5.20105,2.53402,1.62601,2.3165299999999998,2.82173,13.5837,6.83355,3.05861
TWF1,3.3565699999999996,14.0639,23.7474,14.175,3.29305,12.9983,15.11,13.2955,21.397,2.15081
