gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
CD3G,-0.7990608,0.8329330507815833,0.7144900727155363,4965.0,230.0,2.0,False,True,False,True,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
LCP2,-0.78742754,,,4981.0,153.0,2.0,False,True,True,False,False,authors-nominated,hub/broad-effect,0.5188,cell-line-shared/generic,activation,Stim8hr,cell-line-shared/generic,False,False
CD3E,-0.77810687,,,5710.0,234.0,1.0,True,True,False,False,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
CD3D,-0.7762823,,,4983.0,185.0,2.0,False,True,False,True,False,authors-nominated,hub/broad-effect,0.2482,,activation,Stim8hr,T-cell-specific(measured),False,False
CD247,-0.7628869,0.7143167383001537,0.5174657217889786,4329.0,412.0,2.0,False,True,False,False,True,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
PLCG1,-0.7541357,0.8230757543316886,0.6814276352353379,5032.0,421.0,2.0,False,True,False,False,True,authors-nominated,hub/broad-effect,0.3507,,activation,Stim8hr,T-cell-specific(measured),False,False
LAT,-0.75345707,,,5535.0,469.0,2.0,False,True,False,False,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
ZAP70,-0.7392453,,,5021.0,144.0,2.0,False,True,False,False,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
SLC3A2,-0.73626846,0.1442855987514985,0.1037610338616854,2491.0,1296.0,2.0,False,True,True,False,False,authors-nominated,hub/broad-effect,0.5621,cell-line-shared/generic,activation,Stim8hr,cell-line-shared/generic,False,False
LRBA,-0.7327572,-0.1052284884728443,-0.0103540717229838,2992.0,376.0,2.0,False,True,True,False,False,authors-nominated,hub/broad-effect,0.1986,,activation,Stim8hr,T-cell-specific(measured),False,False
ZBED3,-0.73254883,-0.2512741373766505,-0.1014354536620687,4150.0,417.0,2.0,False,False,True,False,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
BCAT2,-0.7207182,0.0627726464953891,0.0920607524029889,3677.0,198.0,2.0,False,True,True,False,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
VAV1,-0.7161571,,,4897.0,504.0,2.0,False,True,False,False,False,authors-nominated,hub/broad-effect,0.5813,cell-line-shared/generic,activation,Stim8hr,cell-line-shared/generic,False,False
FITM2,-0.68795997,-0.2157028268790426,-0.1222893629876779,2606.0,457.0,2.0,False,True,True,False,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
CALCOCO2,-0.68214,0.0872873721347481,0.058032199809151,2351.0,488.0,2.0,False,True,True,False,False,authors-nominated,hub/broad-effect,0.3201,,activation,Stim8hr,T-cell-specific(measured),False,False
FZD6,-0.6722608,,,1394.0,75.0,2.0,False,True,False,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
MBD5,-0.6564944,0.1466558245156952,0.0735030567531385,2254.0,308.0,3.0,False,False,False,True,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
PGGT1B,-0.64211243,0.6260189845226534,0.4761895209286016,3013.0,102.0,2.0,False,True,False,False,True,authors-nominated,hub/broad-effect,0.6063,cell-line-shared/generic,activation,Stim8hr,cell-line-shared/generic,False,False
PLAT,-0.639926,0.1192406838037471,-0.0088130446106874,1311.0,411.0,1.0,True,False,True,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
ITK,-0.6374101,0.5935361125655716,0.3778307835880259,3392.0,517.0,2.0,False,True,False,False,True,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
TMX1,-0.62039566,0.7637926364197034,0.3692525420718843,2346.0,544.0,2.0,False,True,False,False,True,novel,hub/broad-effect,0.5291,cell-line-shared/generic,activation,Stim8hr,cell-line-shared/generic,False,False
PLEK2,-0.6189002,-0.1409622942979164,0.0290385216911246,905.0,580.0,2.0,False,False,True,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
LCK,-0.618207,,,2413.0,116.0,2.0,False,True,False,False,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
CARMIL2,-0.6112276,-0.130113429215419,-0.0165183530062172,2544.0,512.0,1.0,True,True,False,False,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
UBE2E2,-0.6071358,-0.2450018692462277,-0.0916805349252766,1523.0,353.0,2.0,False,True,True,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
MTA3,-0.6029318,-0.0225453423990402,0.0527461195403441,1052.0,358.0,2.0,False,True,True,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
APPL2,-0.6025484,0.1319131797526079,0.1218431066489399,459.0,769.0,2.0,False,True,True,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
GPRASP1,-0.5818002,-0.0417176971455014,0.1364126228271923,865.0,289.0,2.0,False,False,False,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
HELT,-0.56259465,0.2694732503964614,0.098007265343058,2141.0,943.0,2.0,False,False,True,False,False,authors-nominated,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
ARHGAP27,-0.5616184,-0.0520715089475436,0.0570687067697449,933.0,234.0,2.0,False,True,True,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
PTPRC,-0.53613955,,,2254.0,355.0,2.0,False,True,False,False,False,novel,hub/broad-effect,,,activation,Stim8hr,no-K562-data,False,False
SRP14,-0.5323601,,,545.0,247.0,2.0,False,False,False,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
SKIC2,-0.53060967,,,986.0,76.0,1.0,True,False,True,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
XRRA1,-0.5296389,0.7834596801112652,0.3503082105003796,2123.0,466.0,2.0,False,True,False,True,False,authors-nominated,hub/broad-effect,0.4461,,activation,Stim8hr,T-cell-specific(measured),False,False
NDFIP2,-0.5247524,0.2161612191159591,0.1459927856744388,834.0,473.0,2.0,False,True,False,False,False,novel,,0.37,,activation,Stim8hr,T-cell-specific(measured),True,True
CD28,-0.5225527,0.8682036693211379,0.2380370640229424,1505.0,675.0,2.0,False,True,False,False,True,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
AIRIM,-0.5126119,,,292.0,367.0,1.0,True,False,True,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
