gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
AGTPBP1,-0.12015631,0.542689706120827,0.0980660617673818,7.0,1193.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
FBXO32,-0.11634836,0.300672604595212,0.0491263348706029,747.0,1478.0,1.0,True,True,False,False,False,authors-nominated,,,,polarization,Stim8hr,no-K562-data,True,False
ICOS,-0.11103461,,,210.0,658.0,2.0,False,True,False,False,False,authors-known,,,,polarization,Stim8hr,no-K562-data,True,False
ZNF607,-0.10935064,-0.4722207828155672,0.0335164310050407,51.0,705.0,2.0,False,False,False,False,False,authors-nominated,,,,polarization,Stim8hr,no-K562-data,True,False
CDKAL1,-0.107575394,0.5560851013729862,0.0351958918708699,11.0,911.0,2.0,False,True,True,False,False,authors-nominated,,0.3091,,polarization,Stim8hr,T-cell-specific(measured),True,True
RARA,-0.1073097,0.7512679311699242,0.1100690243835112,20.0,405.0,2.0,False,True,False,False,True,authors-known,,0.3069,,polarization,Stim8hr,T-cell-specific(measured),True,True
PCNX3,-0.10013155,0.4028390302604794,0.0917394798510909,65.0,480.0,2.0,False,True,False,False,False,authors-nominated,,0.2595,,polarization,Stim8hr,T-cell-specific(measured),True,True
HPS1,-0.09949219,-0.607869267109058,-0.0401285764307924,302.0,2666.0,1.0,True,True,False,False,False,authors-nominated,,,,polarization,Stim8hr,no-K562-data,True,False
MAMLD1,-0.098632574,0.7696690412695399,0.08602420135497,40.0,1035.0,2.0,False,True,False,False,True,authors-nominated,,,,polarization,Stim8hr,no-K562-data,True,False
MSC,-0.098023504,-0.9157677064855776,-0.0063908888162433,0.0,1024.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
TPRG1,-0.09733525,,0.0691261077670045,1.0,986.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
EPHA4,-0.09578562,,0.0768317917879508,4.0,2000.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
