gene,score,status,guide_signif,guide_all,n_downstream,n_guides,n_cells_target,k562_concordance,specificity_call,hub_flag,specificity_flag,is_clean,clean_strict,axis,condition,direction
CD247,-0.7628869,authors-nominated,0.7143167383001537,0.5174657217889786,4329.0,2.0,412.0,,no-K562-data,hub/broad-effect,,False,False,activation,Stim8hr,low
PLCG1,-0.7541357,authors-nominated,0.8230757543316886,0.6814276352353379,5032.0,2.0,421.0,0.3507,T-cell-specific(measured),hub/broad-effect,,False,False,activation,Stim8hr,low
PGGT1B,-0.64211243,authors-nominated,0.6260189845226534,0.4761895209286016,3013.0,2.0,102.0,0.6063,cell-line-shared/generic,hub/broad-effect,cell-line-shared/generic,False,False,activation,Stim8hr,low
ITK,-0.6374101,authors-nominated,0.5935361125655716,0.3778307835880259,3392.0,2.0,517.0,,no-K562-data,hub/broad-effect,,False,False,activation,Stim8hr,low
TMX1,-0.62039566,novel,0.7637926364197034,0.3692525420718843,2346.0,2.0,544.0,0.5291,cell-line-shared/generic,hub/broad-effect,cell-line-shared/generic,False,False,activation,Stim8hr,low
CD28,-0.5225527,authors-nominated,0.8682036693211379,0.2380370640229424,1505.0,2.0,675.0,,no-K562-data,,,True,False,activation,Stim8hr,low
MALT1,-0.49629098,novel,0.6545619592346947,0.1899775546647518,1639.0,2.0,391.0,,no-K562-data,hub/broad-effect,,False,False,activation,Stim8hr,low
TAF6L,-0.40466785,novel,0.8352365239846078,0.5819354179211115,4638.0,2.0,806.0,0.6407,cell-line-shared/generic,hub/broad-effect,cell-line-shared/generic,False,False,activation,Stim8hr,low
MAP3K1,-0.39577395,novel,0.671569198573053,0.1113399808767652,89.0,2.0,670.0,,no-K562-data,,,True,False,activation,Stim8hr,low
WAS,-0.39380965,novel,0.6318559718892,0.1275728851082861,494.0,2.0,522.0,0.3791,T-cell-specific(measured),,,True,True,activation,Stim8hr,low
DOLPP1,-0.38957167,novel,0.8550001070738288,0.337035095660788,2717.0,2.0,2042.0,,no-K562-data,hub/broad-effect,,False,False,activation,Stim8hr,low
CLCC1,-0.3797033,novel,0.7977929372410631,0.1111182040103022,679.0,2.0,1040.0,0.4769,T-cell-specific(measured),,,True,True,activation,Stim8hr,low
UBIAD1,-0.36993012,novel,0.6989180504211007,0.1198076541377186,89.0,2.0,440.0,0.2431,T-cell-specific(measured),,,True,True,activation,Stim8hr,low
TIA1,-0.36899474,novel,0.5321862227363556,0.1876390806608427,227.0,2.0,1148.0,,no-K562-data,,,True,False,activation,Stim8hr,low
MED12,-0.35355136,novel,0.7802520572736261,0.5763389399862355,4141.0,2.0,219.0,0.6052,cell-line-shared/generic,hub/broad-effect,cell-line-shared/generic,False,False,activation,Stim8hr,low
PDCL,0.3297993,novel,0.8479136027051191,0.342832008093381,1271.0,2.0,470.0,0.3916,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
CBLB,0.29880923,novel,0.920666011820015,0.3489726038018435,1027.0,2.0,1057.0,,no-K562-data,,,True,False,activation,Stim8hr,high
TRIT1,0.29309684,novel,0.8333115445560579,0.2154557236353422,42.0,2.0,1194.0,,no-K562-data,,,True,False,activation,Stim8hr,high
BHLHE40,0.29257292,novel,0.8058981899388852,0.4836683740954588,1996.0,2.0,972.0,0.146,T-cell-specific(measured),hub/broad-effect,,False,False,activation,Stim8hr,high
RSBN1L,0.2899036,novel,1.0,0.1622527604745191,178.0,2.0,1552.0,0.2722,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
ELP3,0.27892652,novel,0.7485164205340118,0.3135997700750898,995.0,2.0,409.0,0.3794,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
C2CD5,0.26360676,novel,0.8083412442508281,0.0396822295699679,60.0,2.0,809.0,,no-K562-data,,,True,False,activation,Stim8hr,high
COX15,0.2623078,novel,0.7204424741180265,0.13403258527585,97.0,2.0,704.0,0.2366,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
SMS,0.26011515,novel,0.5994832218127923,0.0871984933534007,52.0,2.0,301.0,0.2613,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
PPIH,0.25541157,novel,0.6585425379606276,0.2257309123426115,876.0,2.0,345.0,,no-K562-data,,,True,False,activation,Stim8hr,high
SLC4A7,0.24949327,novel,0.5952819144719366,0.0672111285908082,45.0,2.0,1477.0,0.2432,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
SNRPB2,0.24933968,novel,0.8921593402203679,0.0491228620845398,153.0,2.0,386.0,0.4554,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
PUM1,0.23613727,novel,0.9986077467457726,0.2280624067547336,226.0,2.0,566.0,0.4743,T-cell-specific(measured),,,True,True,activation,Stim8hr,high
DHPS,0.23420468,novel,0.5721631049195919,0.1526726678755857,373.0,2.0,145.0,0.5254,cell-line-shared/generic,,cell-line-shared/generic,False,False,activation,Stim8hr,high
YEATS2,0.22981048,novel,0.5462694119527325,0.1995095213748372,504.0,2.0,150.0,,no-K562-data,,,True,False,activation,Stim8hr,high
