gene,direction,gwas_traits,key_variants,is_eqtl_immune,opentargets_top_disease,ot_score,direction_of_effect,genetic_support,note
TNFRSF9,Th1-skewing KD (polarization),Rheumatoid arthritis (p=3e-9); Autoimmune hypothyroidism (p=3e-8); Psoriasis; SLE; T1D,rs227163 (RA); rs146918925 (autoimmune hypothyroidism),True,systemic lupus erythematosus,0.098,unknown,strong,"4-1BB/CD137. RECOVERED-KNOWN. Genome-wide RA + autoimmune-hypothyroidism GWAS at locus; blood eQTL (Lepik). Approved-stage drugs (urelumab/utomilumab) are AGONISTS for cancer -> pathway is pro-activation, so reduced function is immunosuppressive and plausibly protective in autoimmunity, but no coloc to confirm the RA risk-allele expression direction; direction unknown."
URM1,Th1-skewing KD,"none (no immune GWAS; OT top = type-2 diabetes, metabolic)",none,True,,,unknown,none,No genetic support for immune-mediated/atopic disease. Whole-blood eQTL exists but no disease coloc.
BAHD1,Th1-skewing KD,"Thyroid stimulating hormone levels (p=2e-38, rs1659563) - thyroid FUNCTION not autoimmunity",rs1659563; rs1453184 (TSH levels),False,ulcerative colitis,0.008,unknown,weak,"Genome-wide TSH-level signal is a quantitative hormone trait, not an autoimmune-disease association; negligible OT immune scores; no immune eQTL. Weak/indirect at best."
JADE2,Th1-skewing KD,"Multiple sclerosis (p=2e-13, rs2084007); Monocyte/WBC counts",rs2084007 (MS); rs329125 (monocyte count),False,hypothyroidism,0.4,unknown,weak,Gene-mapped MS hit is real but locus assignment to JADE2 is uncertain (mapped by Ensembl pipeline; could tag neighbours); OT hypothyroidism genetic 0.66. No immune eQTL in panel. Needs coloc to attribute to JADE2.
INTS6,Th1-skewing KD,"none (IgA glomerulonephritis 0.006, asthma 0.004 negligible)",none,False,IgA glomerulonephritis,0.006,unknown,none,"No genome-wide immune GWAS, no immune eQTL, negligible OT scores. No genetic support found."
RAC2,Th1-skewing KD,"Celiac disease (p=3e-8, rs9610686); Lymphocyte count (p=5e-10)",rs9610686 (celiac); rs116118746 (lymphocyte count),True,rheumatoid arthritis,0.077,protective-on-LoF,weak,RECOVERED-KNOWN: biallelic RAC2 LoF causes combined immunodeficiency -> reduced function is immunosuppressive (right direction) but with severe immunodeficiency safety liability. Celiac hit sits in gene-dense 22q13 (UBE2L3/YDJC) so attribution to RAC2 is uncertain. Blood + CD4 T-cell eQTL present. Support weak on attribution.
TRIT1,Th2-skewing KD,"White blood cell count (p=1e-10, rs6700363) - quantitative only",rs6700363 (WBC count),True,asthma,0.003,unknown,weak,"Only a quantitative blood-cell-count signal, no immune-DISEASE association. Strong multi-tissue immune eQTL (blood, stim CD4 T, monocyte) but no disease coloc."
SNRPB2,Th2-skewing KD,"Food allergy, maternal effects (p=7e-6, sub-genome-wide)","rs2092470 (food allergy, suggestive)",True,,,unknown,weak,Single sub-genome-wide atopic suggestive hit; whole-blood eQTL only. No disease-level OT support. Weak.
TWF1,Th2-skewing KD,"Inflammatory bowel disease (p=6e-6, suggestive)","rs1816854 (IBD, suggestive OR 1.38)",True,ulcerative colitis,0.008,unknown,weak,Sub-genome-wide IBD suggestive signal; whole-blood eQTL. Direction unknown; weak.
PAXIP1,Th2-skewing KD,"Psoriatic arthritis vs cutaneous psoriasis (p=4e-6, suggestive)","rs306281 (PsA vs psoriasis, suggestive)",False,colitis,0.009,unknown,weak,Sub-genome-wide psoriatic-arthritis contrast signal only; no immune eQTL in panel. Weak.
IFNAR1,Th2-skewing KD,"Hypothyroidism (p=4e-15, rs969478); OT MS 0.61 / SLE 0.58; (IL10RB pQTLs are neighbour-gene mapping)",rs969478 (hypothyroidism),True,multiple sclerosis,0.608,protective-on-LoF,strong,RECOVERED-KNOWN: type-I IFN receptor. ANIFROLUMAB (anti-IFNAR1 ANTAGONIST) is APPROVED for SLE -> IFNAR1 blockade (reduced function) is protective in IFN-driven autoimmunity. Knockdown points the RIGHT WAY for an inhibitor (lupus/MS). CD4 T-cell + blood eQTL. Note top pQTL hits (IL10RB) reflect flanking-gene mapping on chr21.
CLCC1,activation-exploratory (immunosuppressive dir),none (no immune GWAS; OT top = Chudley-McCullough deafness syndrome),none,True,,,unknown,none,"No immune-disease genetics. BUT strong CD4 T-cell cis-eQTL (naive+stim) and blood -> genetically regulated in the right cell type; disease link absent. is_eqtl_immune=True, genetic_support=none."
CD6,activation-exploratory (immunosuppressive dir),"Multiple sclerosis (p=2e-29, rs4939490); IBD; ankylosing spondylitis; Crohn; Graves; psoriasis",rs4939490/rs34383631 (MS); rs11230563 (IBD/AS),False,inflammatory bowel disease,0.475,protective-on-LoF,strong,"RECOVERED-KNOWN: ITOLIZUMAB (anti-CD6 INHIBITOR) is Phase-3 for GvHD/psoriasis/T1D. CD6 is a T-cell costimulatory molecule; inhibition is immunosuppressive -> reduced function protective in autoimmunity. Multiple genome-wide autoimmune hits, OT genetic 0.75 (IBD). Knockdown points the RIGHT WAY for an inhibitor."
CBLB,activation-exploratory (brake-release/anti-tumor dir),"Hypothyroidism (p=3e-41, rs1921445); Autoimmune thyroid disease (OR 1.1, p=7e-19, rs57512118); MS; Hashimoto",rs1921445/rs12633860 (hypothyroidism); rs57512118 (autoimmune thyroid),False,hypothyroidism,0.497,risk-on-LoF,strong,"RECOVERED-KNOWN: E3 ligase, established negative regulator (brake) of TCR signalling. Reduced CBLB -> MORE activation -> autoimmune-thyroid RISK (GWAS direction), OT genetic 0.81. For the ANTI-TUMOR brake-release goal, knockdown is the RIGHT way (immune-enhancing); the autoimmune-thyroid genetics is the on-target safety liability, NOT protection. Wrong way for an autoimmune-suppressing inhibitor."
TATDN2,Th2-skewing KD (polarization),none (no immune GWAS; 0/20 gene-mapped associations immune),none,True,,,unknown,none,"No genetic support found: 0 immune-disease GWAS associations, no curated immune OT disease, no drugs/tractability. Has cis-eQTL in GTEx blood, Lepik blood and BLUEPRINT CD4+ T cell (is_eqtl_immune=True) but no disease link."
